ROI_TOTAL.Photons.s,MEAN.Photons.s.cm.2.sr,AREA.Pixels..cm.2,Treatment,Site,Mouse,day,exp
68073120,381157.84,14.21,10^6 K181,Body,P-24,4,20
1.84E+08,1031219.7,14.21,10^6 K181,Body,P-25,4,20
48371928,270846.13,14.21,10^6 K181,Body,P-26,4,20
1.08E+08,603644.44,14.21,10^6 K181,Body,P-27,4,20
2587970.5,65728.156,3.133,10^6 K181,Salivary Gland,P-23,5,20
994045.81,25246.344,3.133,10^6 K181,Salivary Gland,P-24,5,20
7226954,183547.05,3.133,10^6 K181,Salivary Gland,P-25,5,20
9210972,233936.27,3.133,10^6 K181,Salivary Gland,P-26,5,20
1783035.1,45284.754,3.133,10^6 K181,Salivary Gland,P-27,5,20
1.51E+08,846544.88,14.21,10^6 K181,Body,P-23,5,20
9621787,53874.715,14.21,10^6 K181,Body,P-24,5,20
26535726,148579.94,14.21,10^6 K181,Body,P-25,5,20
3701677.5,20726.588,14.21,10^6 K181,Body,P-26,5,20
98196584,549826.44,14.21,10^6 K181,Body,P-27,5,20
9375042,238103.23,3.133,10^6 K181,Salivary Gland,P-23,6,20
3495582,88779.273,3.133,10^6 K181,Salivary Gland,P-24,6,20
19585846,497432.84,3.133,10^6 K181,Salivary Gland,P-25,6,20
51746304,1314230.3,3.133,10^6 K181,Salivary Gland,P-26,6,20
10905664,276977.34,3.133,10^6 K181,Salivary Gland,P-27,6,20
8072614,45200.516,14.21,10^6 K181,Body,P-23,6,20
1.05E+08,589494.44,14.21,10^6 K181,Body,P-24,6,20
33348656,186727.19,14.21,10^6 K181,Body,P-25,6,20
7552645.5,42289.09,14.21,10^6 K181,Body,P-26,6,20
37419672,209521.81,14.21,10^6 K181,Body,P-27,6,20
18751516,476242.88,3.133,10^6 K181,Salivary Gland,P-23,7,20
13957798,354494.09,3.133,10^6 K181,Salivary Gland,P-24,7,20
9503463,241364.84,3.133,10^6 K181,Salivary Gland,P-25,7,20
44974608,1142245.6,3.133,10^6 K181,Salivary Gland,P-26,7,20
29868218,758580,3.133,10^6 K181,Salivary Gland,P-27,7,20
1.14E+08,635818.31,14.21,10^6 K181,Body,P-23,7,20
6076536,34023.992,14.21,10^6 K181,Body,P-24,7,20
9428574,52792.863,14.21,10^6 K181,Body,P-25,7,20
2484069.8,13908.906,14.21,10^6 K181,Body,P-26,7,20
18027794,100941.98,14.21,10^6 K181,Body,P-27,7,20
8127443,206417.28,3.133,10^6 K181,Salivary Gland,P-23,8,20
5738811.5,145751.84,3.133,10^6 K181,Salivary Gland,P-24,8,20
7801622,198142.2,3.133,10^6 K181,Salivary Gland,P-25,8,20
22870364,580851.56,3.133,10^6 K181,Salivary Gland,P-26,8,20
15224513,386665.59,3.133,10^6 K181,Salivary Gland,P-27,8,20
27138700,151956.14,14.21,10^6 K181,Body,P-23,8,20
54693432,306241.75,14.21,10^6 K181,Body,P-24,8,20
5357119,29995.805,14.21,10^6 K181,Body,P-25,8,20
2948012.8,16573.465,14.15,10^6 K181,Body,P-26,8,20
18757494,105027.75,14.21,10^6 K181,Body,P-27,8,20
6418256.5,163008.09,3.133,10^6 K181,Salivary Gland,P-23,9,20
4836254.5,122829.1,3.133,10^6 K181,Salivary Gland,P-24,9,20
6278091.5,159448.25,3.133,10^6 K181,Salivary Gland,P-25,9,20
23755144,603322.81,3.133,10^6 K181,Salivary Gland,P-26,9,20
14132603,358933.72,3.133,10^6 K181,Salivary Gland,P-27,9,20
8356978,46792.738,14.21,10^6 K181,Body,P-23,9,20
1114757,6241.7939,14.21,10^6 K181,Body,P-24,9,20
1492211.9,8355.2559,14.21,10^6 K181,Body,P-25,9,20
1788952.4,10016.776,14.21,10^6 K181,Body,P-26,9,20
28470712,159414.41,14.21,10^6 K181,Body,P-27,9,20
7884407.5,200244.77,3.133,10^6 K181,Salivary Gland,P-23,10,20
3427686.8,87054.906,3.133,10^6 K181,Salivary Gland,P-24,10,20
10656002,270636.53,3.133,10^6 K181,Salivary Gland,P-25,10,20
36018240,914775.69,3.133,10^6 K181,Salivary Gland,P-26,10,20
9536368,242200.52,3.133,10^6 K181,Salivary Gland,P-27,10,20
1728375.9,9677.5947,14.21,10^6 K181,Body,P-23,10,20
1908702.8,10687.288,14.21,10^6 K181,Body,P-24,10,20
538082.25,3012.8528,14.21,10^6 K181,Body,P-25,10,20
1824481,10215.71,14.21,10^6 K181,Body,P-26,10,20
8180444.5,45804.289,14.21,10^6 K181,Body,P-27,10,20
9496949,241199.39,3.133,10^6 K181,Salivary Gland,P-23,11,20
2962243,75233.766,3.133,10^6 K181,Salivary Gland,P-24,11,20
9836485,249822.78,3.133,10^6 K181,Salivary Gland,P-25,11,20
44570436,1131980.6,3.133,10^6 K181,Salivary Gland,P-26,11,20
9352371,237527.44,3.133,10^6 K181,Salivary Gland,P-27,11,20
1325524.3,7421.9307,14.21,10^6 K181,Body,P-23,11,20
3173265.5,17767.881,14.21,10^6 K181,Body,P-24,11,20
567564.13,3177.9287,14.21,10^6 K181,Body,P-25,11,20
1450685.5,8122.7393,14.21,10^6 K181,Body,P-26,11,20
1463899.1,8196.7256,14.21,10^6 K181,Body,P-27,11,20
8476876,215292.05,3.133,10^6 K181,Salivary Gland,P-23,12,20
3705018.8,94098.453,3.133,10^6 K181,Salivary Gland,P-24,12,20
7319193,185889.69,3.133,10^6 K181,Salivary Gland,P-25,12,20
25891620,657584.13,3.133,10^6 K181,Salivary Gland,P-26,12,20
11602372,294672.03,3.133,10^6 K181,Salivary Gland,P-27,12,20
718243.31,4021.6179,14.21,10^6 K181,Body,P-23,12,20
723336.13,4050.1338,14.21,10^6 K181,Body,P-24,12,20
1239904.9,6942.5273,14.21,10^6 K181,Body,P-25,12,20
545768.56,3055.8901,14.21,10^6 K181,Body,P-26,12,20
587353.13,3288.7319,14.21,10^6 K181,Body,P-27,12,20
5608590.5,142444.55,3.133,10^6 K181,Salivary Gland,P-23,13,20
2296473.3,58324.832,3.133,10^6 K181,Salivary Gland,P-24,13,20
4916214.5,124859.88,3.133,10^6 K181,Salivary Gland,P-25,13,20
18389142,467039.47,3.133,10^6 K181,Salivary Gland,P-26,13,20
